
CVJ ZZ INV Detalle de definición de Artículo

Fecha: 05-MAR-2026 04:00:35 PM

Parametros
----------
Unidad Operativa: 132
Organización de Inventarios DESDE: M03 CARVAJAL ESPACIOS PLANTA PALMIRA
Organización de Inventarios HASTA: M03 CARVAJAL ESPACIOS PLANTA PALMIRA
Jgo Categ 1: Categoría de Productos
Categorías Desde 1: 
A : 
Jgo Categ 2: Inventory Category Set
Jgo Categ 3: COSTOS_PAC
Artículo Desde: 22000000000
Artículo Hasta: 22999999999
Estado del Articulo: Active
Tipo de Articulo: 
Planificador: 
Fecha Creacion Inicial: 
Fecha Creacion Final: 
Atributos De Información General: Sí
Atributos De Artículo De Inventario: No
Atributos De Artículo De Listas De Materiales: No
Atributos De Artículo De Administración De Activos: No
Atributos De Artículo De Cálculo De Costos: No
Atributos De Artículo De Compras: No
Atributos De Artículos De Recepción: No
Atributos De Artículos De Atributos Físicos: No
Atributos De Artículos De Planificación General: No
Atributos De Artículos De Planificación MPS/MRP: No
Atributos De Artículos De Márgenes Tiempo: No
Atributos De Artículos De Trabajo En Proceso: No
Atributos De Artículos De Administración De Pedidos: No
Atributos De Artículos De Facturación: No
Atributos De Artículos De Servicio: No
Atributos De Artículos De Opcion Web: No
Atributos De Artículos De Catalogo: No

*** Cuando hay varias categorias para un Artículo. Revise la configuración.

Organización Inventario|Artículo|Descripción|Fecha de Creacion|Fecha de ultima actualizacion|Creado Por|Importado|Provisión Inventarios|NUMERADOS|En Custodia|Artículo Plan Vallejo|Cliente Producto|Flexfield12|flexfield13|Pricat Desc Larga|Pricat Desc Corta|Responsabilidad|Actualizado por|Atributo6|Categoria1|Categoria2|Categoria3|Primario|Rastreo|Fjción Precios|Secundario|Fjación p/Def|Fact Desv +|Fact Desv -|Conversiones|Tipo Art Usuario|Estado Articulo|Descripción Larga|Código de Clasificación Fiscal|Clase de Condición de Transacción|Cuenta de Ajuste por Inflación|Cuenta de Corrección Monetaria|Cuenta de Costos de Ventas|Flexfields 6|Flexfields 7|Aplicación de Artículo de Inventario
M03 CARVAJAL ESPACIOS PLANTA PALMIRA|22000000924|REUBICACION PUESTO DE TRABAJO|14-AGO-07|01-FEB-21|LGARCIA285_CO||SI||SI|NO||SI|||SI|MEPAL_CO_INV_CREADOR_ARTICULOS|YCONSTAIN805_CO||MUEBLES.GESTION INTEGRAL DE ESPACIOS DE TRABAJO.SERVICIOS GENERALES DE MOBILIARIO.REUBICACION.N/A|ALMATEC.SISTEMAS ALMACENAMIENTO FIJO.ESTANTERIAS PESADAS.COMPLEMENTOS|PRODUCTO TERMINADO.MUEBLES.DISTRIBUCION.OPEN|Unidad|Primario|Primario|||0|0|Específico Artículo|Servicio Facturado|Active|REUBICACION PUESTO DE TRABAJO|IVA GENERAL|SERV_GRAV-IVA_IYC_ICA|035.2110.0000.1435990200.0000.000.F.00|035.2110.5355.4705100000.0000.000.F.00|035.2110.5355.6155401000.0000.000.F.00|||AR
M03 CARVAJAL ESPACIOS PLANTA PALMIRA|22000000925|MANTENIMIENTO MUEBLES|14-AGO-07|31-MAY-21|LGARCIA285_CO||SI|||NO||||||MEPAL_CO_INV_CREADOR_ARTICULOS|LBENAVIDES892_CO||MUEBLES.SERVICIOS.SERVICIOS.MANTENIMIENTOS.N/A|MUEBLES.SERVICIOS.SERVICIOS.MANTENIMIENTOS|PRODUCTO TERMINADO.MUEBLES.DISTRIBUCION.OPEN|Unidad|Primario|Primario|||0|0|Específico Artículo|Servicio Facturado|Active||IVA GENERAL|SERV_GRAV-IVA_IYC_ICA|035.2110.0000.1435990200.0000.000.F.00|035.2110.5355.4705100000.0000.000.F.00|035.2110.5355.6155401000.0000.000.F.00|||AR
M03 CARVAJAL ESPACIOS PLANTA PALMIRA|22000000928|INSTALACION PUESTO DE TRABAJO|14-AGO-07|01-FEB-21|LGARCIA285_CO||SI||SI|NO||SI|||SI|MEPAL_CO_INV_CREADOR_ARTICULOS|YCONSTAIN805_CO||MUEBLES.SERVICIOS.SERVICIOS.SERVICIOS Y OTROS.N/A|MUEBLES.GESTION INTEGRAL DE ESPACIOS DE TRA.SERVICIOS GENERALES DE MOBILIARIO.REUBICACION|PRODUCTO TERMINADO.MUEBLES.DISTRIBUCION.OPEN|Unidad|Primario|Primario|||0|0|Específico Artículo|Servicio Facturado|Active||IVA GENERAL|SERV_GRAV-IVA_IYC_ICA|035.2110.0000.1435990200.0000.000.F.00|035.2110.5355.4705100000.0000.000.F.00|035.2110.5355.6155401000.0000.000.F.00|||AR
M03 CARVAJAL ESPACIOS PLANTA PALMIRA|22000000930|ARREGLOS MUEBLES|14-AGO-07|01-FEB-21|LGARCIA285_CO||SI||SI|NO||SI|||SI|MEPAL_CO_INV_CREADOR_ARTICULOS|YCONSTAIN805_CO||MUEBLES.SERVICIOS.SERVICIOS.REFACCION.N/A|MUEBLES.SERVICIOS.SERVICIOS.REFACCION|PRODUCTO TERMINADO.MUEBLES.DISTRIBUCION.OPEN|Unidad|Primario|Primario|||0|0|Específico Artículo|Servicios Facturables Gastos|Active|ARREGLOS MUEBLES|IVA GENERAL|SERV_GRAV-IVA_IYC_ICA|035.2110.0000.1435990200.0000.000.F.00|035.2110.5355.4705100000.0000.000.F.00|035.2110.5355.6155401000.0000.000.F.00|||AR
M03 CARVAJAL ESPACIOS PLANTA PALMIRA|22000000977|PERILLA DE GRADUACION CONTACTO PERMANENTE SILLA IDEA|23-OCT-07|09-ENE-15|EGOMEZ767_CO|NO|SI||SI|NO||SI|||SI|MEPAL_CO_INV_CREADOR_ARTICULOS|AOSPINA277_CO||MUEBLES.SILLAS Y MESAS.OFIPARTES.ELEMENTO DE REPOSICION.N/A|MUEBLES.SILLAS Y MESAS.OFIPARTES.ELEMENTO DE REPOSICION|PRODUCTO TERMINADO.MUEBLES.DISTRIBUCION.OPEN|Unidad|Primario|Primario|||0|0|Específico Artículo|Producto Comprado|Active|PERILLA DE GRADUACION CONTACTO PERMANENTE SILLA IDEA|IVA GENERAL|BIEN_DISTRI_GRAV-IVA_IYC_ICA|035.2110.0000.1435990200.0000.000.F.00|035.2110.5151.4705100000.0000.000.F.00|035.2110.5151.6135980000.0000.000.F.00|||AR
M03 CARVAJAL ESPACIOS PLANTA PALMIRA|22000000979|PERILLA DE GRADUACION ALTURA ESPALDAR SILLA IDEA Y CINQUE|23-OCT-07|18-NOV-20|EGOMEZ767_CO|NO|SI||SI|NO||SI|||SI|MEPAL_CO_INV_CREADOR_ARTICULOS|YCONSTAIN805_CO||MUEBLES.SILLAS Y MESAS.OFIPARTES.ELEMENTO DE REPOSICION.N/A|MUEBLES.SILLAS Y MESAS.OFIPARTES.ELEMENTO DE REPOSICION|PRODUCTO TERMINADO.MUEBLES.DISTRIBUCION.OPEN|Unidad|Primario|Primario|||0|0|Específico Artículo|Producto Comprado|Active|PERILLA DE GRADUACION ALTURA ESPALDAR SILLA IDEA Y CINQUE|IVA GENERAL|BIEN_DISTRI_GRAV-IVA_IYC_ICA|035.2110.0000.1435990200.0000.000.F.00|035.2110.5151.4705100000.0000.000.F.00|035.2110.5151.6135980000.0000.000.F.00|||AR
M03 CARVAJAL ESPACIOS PLANTA PALMIRA|22000001000|INSTALAR PUESTO TRABAJO|07-SEP-07|02-FEB-21|ERINCON092_CO|SI|SI||NO|||NO|||NO|MEPAL_CO_INV_CREADOR_ARTICULOS|YCONSTAIN805_CO||MUEBLES.SERVICIOS.SERVICIOS.REUBICACION.N/A|MUEBLES.SERVICIOS.SERVICIOS.REUBICACION|PRODUCTO TERMINADO.MUEBLES.DISTRIBUCION.OPEN|Unidad|Primario|Primario|||0|0|Específico Artículo|Servicio Facturado|Active|INSTALAR PUESTO TRABAJO|IVA GENERAL|SERV_GRAV-IVA_IYC_ICA|035.2110.0000.1435990200.0000.000.F.00|035.2110.5355.4705100000.0000.000.F.00|035.2110.5355.6155401000.0000.000.F.00|||AR
M03 CARVAJAL ESPACIOS PLANTA PALMIRA|22000001001|DESINSTALAR PUESTO TRABAJO|07-SEP-07|01-FEB-21|ERINCON092_CO|SI|SI||NO|||NO|||NO|MEPAL_CO_INV_CREADOR_ARTICULOS|YCONSTAIN805_CO||MUEBLES.SERVICIOS.SERVICIOS.REUBICACION.N/A|MUEBLES.SERVICIOS.SERVICIOS.REUBICACION|PRODUCTO TERMINADO.MUEBLES.DISTRIBUCION.OPEN|Unidad|Primario|Primario|||0|0|Específico Artículo|Servicio Facturado|Active|DESINSTALAR PUESTO TRABAJO|IVA GENERAL|SERV_GRAV-IVA_IYC_ICA|035.2110.0000.1435990200.0000.000.F.00|035.2110.5355.4705100000.0000.000.F.00|035.2110.5355.6155401000.0000.000.F.00|||AR
M03 CARVAJAL ESPACIOS PLANTA PALMIRA|22000001003|INSTALAR PANEL PISOTECHO|07-SEP-07|02-FEB-21|ERINCON092_CO|SI|SI||NO|||NO|||NO|MEPAL_CO_INV_CREADOR_ARTICULOS|YCONSTAIN805_CO||MUEBLES.SERVICIOS.SERVICIOS.REUBICACION.N/A|MUEBLES.SERVICIOS.SERVICIOS.REUBICACION|PRODUCTO TERMINADO.MUEBLES.DISTRIBUCION.OPEN|Unidad|Primario|Primario|||0|0|Específico Artículo|Servicio Facturado|Active|INSTALAR PANEL PISOTECHO|IVA GENERAL|SERV_GRAV-IVA_IYC_ICA|035.2110.0000.1435990200.0000.000.F.00|035.2110.5355.4705100000.0000.000.F.00|035.2110.5355.6155401000.0000.000.F.00|||AR
M03 CARVAJAL ESPACIOS PLANTA PALMIRA|22000001004|DESINSTALAR PANEL PISOTECHO|07-SEP-07|01-FEB-21|ERINCON092_CO|SI|SI||NO|||NO|||NO|MEPAL_CO_INV_CREADOR_ARTICULOS|YCONSTAIN805_CO||MUEBLES.SERVICIOS.SERVICIOS.REUBICACION.N/A|MUEBLES.SERVICIOS.SERVICIOS.REUBICACION|PRODUCTO TERMINADO.MUEBLES.DISTRIBUCION.OPEN|Unidad|Primario|Primario|||0|0|Específico Artículo|Servicio Facturado|Active|DESINSTALAR PANEL PISOTECHO|IVA GENERAL|SERV_GRAV-IVA_IYC_ICA|035.2110.0000.1435990200.0000.000.F.00|035.2110.5355.4705100000.0000.000.F.00|035.2110.5355.6155401000.0000.000.F.00|||AR
M03 CARVAJAL ESPACIOS PLANTA PALMIRA|22000001005|REUBICAR PANEL PISOTECHO|07-SEP-07|01-FEB-21|ERINCON092_CO|SI|SI||NO|||NO|||NO|MEPAL_CO_INV_CREADOR_ARTICULOS|YCONSTAIN805_CO||MUEBLES.SERVICIOS.SERVICIOS.REUBICACION.N/A|MUEBLES.SERVICIOS.SERVICIOS.REUBICACION|PRODUCTO TERMINADO.MUEBLES.DISTRIBUCION.OPEN|Unidad|Primario|Primario|||0|0|Específico Artículo|Servicio Facturado|Active|REUBICAR PANEL PISOTECHO|IVA GENERAL|SERV_GRAV-IVA_IYC_ICA|035.2110.0000.1435990200.0000.000.F.00|035.2110.5355.4705100000.0000.000.F.00|035.2110.5355.6155401000.0000.000.F.00|||AR
M03 CARVAJAL ESPACIOS PLANTA PALMIRA|22000001006|INSTALAR PANEL 1/2 ALTURA|07-SEP-07|01-FEB-21|ERINCON092_CO|SI|SI||NO|||NO|||NO|MEPAL_CO_INV_CREADOR_ARTICULOS|YCONSTAIN805_CO||MUEBLES.SERVICIOS.SERVICIOS.REUBICACION.N/A|MUEBLES.SERVICIOS.SERVICIOS.REUBICACION|PRODUCTO TERMINADO.MUEBLES.DISTRIBUCION.OPEN|Unidad|Primario|Primario|||0|0|Específico Artículo|Servicio Facturado|Active|INSTALAR PANEL 1/2 ALTURA|IVA GENERAL|SERV_GRAV-IVA_IYC_ICA|035.2110.0000.1435990200.0000.000.F.00|035.2110.5355.4705100000.0000.000.F.00|035.2110.5355.6155401000.0000.000.F.00|||AR
M03 CARVAJAL ESPACIOS PLANTA PALMIRA|22000001007|DESINSTALAR PANEL 1/2 ALTURA|07-SEP-07|01-FEB-21|ERINCON092_CO|SI|SI||NO|||NO|||NO|MEPAL_CO_INV_CREADOR_ARTICULOS|YCONSTAIN805_CO||MUEBLES.SERVICIOS.SERVICIOS.REUBICACION.N/A|MUEBLES.SERVICIOS.SERVICIOS.REUBICACION|PRODUCTO TERMINADO.MUEBLES.DISTRIBUCION.OPEN|Unidad|Primario|Primario|||0|0|Específico Artículo|Servicio Facturado|Active|DESINSTALAR PANEL 1/2 ALTURA|IVA GENERAL|SERV_GRAV-IVA_IYC_ICA|035.2110.0000.1435990200.0000.000.F.00|035.2110.5355.4705100000.0000.000.F.00|035.2110.5355.6155401000.0000.000.F.00|||AR
M03 CARVAJAL ESPACIOS PLANTA PALMIRA|22000001008|REUBICAR PANEL 1/2 ALTURA|07-SEP-07|01-FEB-21|ERINCON092_CO|SI|SI||NO|||NO|||NO|MEPAL_CO_INV_CREADOR_ARTICULOS|YCONSTAIN805_CO||MUEBLES.SERVICIOS.SERVICIOS.REUBICACION.N/A|MUEBLES.SERVICIOS.SERVICIOS.REUBICACION|PRODUCTO TERMINADO.MUEBLES.DISTRIBUCION.OPEN|Unidad|Primario|Primario|||0|0|Específico Artículo|Servicio Facturado|Active|REUBICAR PANEL 1/2 ALTURA|IVA GENERAL|SERV_GRAV-IVA_IYC_ICA|035.2110.0000.1435990200.0000.000.F.00|035.2110.5355.4705100000.0000.000.F.00|035.2110.5355.6155401000.0000.000.F.00|||AR
M03 CARVAJAL ESPACIOS PLANTA PALMIRA|22000001009|INSTALAR MARCO PUERTA|07-SEP-07|01-FEB-21|ERINCON092_CO|SI|SI||NO|||NO|||NO|MEPAL_CO_INV_CREADOR_ARTICULOS|YCONSTAIN805_CO||MUEBLES.SERVICIOS.SERVICIOS.REUBICACION.N/A|MUEBLES.SERVICIOS.SERVICIOS.REUBICACION|PRODUCTO TERMINADO.MUEBLES.DISTRIBUCION.OPEN|Unidad|Primario|Primario|||0|0|Específico Artículo|Servicio Facturado|Active|INSTALAR MARCO PUERTA|IVA GENERAL|SERV_GRAV-IVA_IYC_ICA|035.2110.0000.1435990200.0000.000.F.00|035.2110.5355.4705100000.0000.000.F.00|035.2110.5355.6155401000.0000.000.F.00|||AR
M03 CARVAJAL ESPACIOS PLANTA PALMIRA|22000001010|DESINSTALAR MARCO PUERTA|07-SEP-07|01-FEB-21|ERINCON092_CO|SI|SI||NO|||NO|||NO|MEPAL_CO_INV_CREADOR_ARTICULOS|YCONSTAIN805_CO||MUEBLES.SERVICIOS.SERVICIOS.REUBICACION.N/A|MUEBLES.SERVICIOS.SERVICIOS.REUBICACION|PRODUCTO TERMINADO.MUEBLES.DISTRIBUCION.OPEN|Unidad|Primario|Primario|||0|0|Específico Artículo|Servicio Facturado|Active|DESINSTALAR MARCO PUERTA|IVA GENERAL|SERV_GRAV-IVA_IYC_ICA|035.2110.0000.1435990200.0000.000.F.00|035.2110.5355.4705100000.0000.000.F.00|035.2110.5355.6155401000.0000.000.F.00|||AR
M03 CARVAJAL ESPACIOS PLANTA PALMIRA|22000001011|REUBICAR MARCO PUERTA|07-SEP-07|01-FEB-21|ERINCON092_CO|SI|SI||NO|||NO|||NO|MEPAL_CO_INV_CREADOR_ARTICULOS|YCONSTAIN805_CO||MUEBLES.SERVICIOS.SERVICIOS.REUBICACION.N/A|MUEBLES.SERVICIOS.SERVICIOS.REUBICACION|PRODUCTO TERMINADO.MUEBLES.DISTRIBUCION.OPEN|Unidad|Primario|Primario|||0|0|Específico Artículo|Servicio Facturado|Active|REUBICAR MARCO PUERTA|IVA GENERAL|SERV_GRAV-IVA_IYC_ICA|035.2110.0000.1435990200.0000.000.F.00|035.2110.5355.4705100000.0000.000.F.00|035.2110.5355.6155401000.0000.000.F.00|||AR
M03 CARVAJAL ESPACIOS PLANTA PALMIRA|22000001012|INSTALAR NAVE PUERTA|07-SEP-07|01-FEB-21|ERINCON092_CO|SI|SI||NO|||NO|||NO|MEPAL_CO_INV_CREADOR_ARTICULOS|YCONSTAIN805_CO||MUEBLES.SERVICIOS.SERVICIOS.REUBICACION.N/A|MUEBLES.SERVICIOS.SERVICIOS.REUBICACION|PRODUCTO TERMINADO.MUEBLES.DISTRIBUCION.OPEN|Unidad|Primario|Primario|||0|0|Específico Artículo|Servicio Facturado|Active|INSTALAR NAVE PUERTA|IVA GENERAL|SERV_GRAV-IVA_IYC_ICA|035.2110.0000.1435990200.0000.000.F.00|035.2110.5355.4705100000.0000.000.F.00|035.2110.5355.6155401000.0000.000.F.00|||AR
